,Candidat,Date,Nb de likes
645,Anne_Hidalgo,2021-12-17 15:22:52+00:00,101
646,Anne_Hidalgo,2021-12-17 13:31:47+00:00,613
647,Anne_Hidalgo,2021-12-16 19:16:28+00:00,51
648,Anne_Hidalgo,2021-12-16 18:21:34+00:00,420
649,Anne_Hidalgo,2021-12-16 15:07:54+00:00,378
650,Anne_Hidalgo,2021-12-15 11:24:07+00:00,219
651,Anne_Hidalgo,2021-12-14 18:25:35+00:00,166
652,Anne_Hidalgo,2021-12-14 18:03:33+00:00,170
653,Anne_Hidalgo,2021-12-14 16:13:29+00:00,1649
654,Anne_Hidalgo,2021-12-14 08:00:31+00:00,65
655,Anne_Hidalgo,2021-12-13 18:18:25+00:00,744
656,Anne_Hidalgo,2021-12-13 11:01:51+00:00,260
657,Anne_Hidalgo,2021-12-12 22:43:58+00:00,88
658,Anne_Hidalgo,2021-12-12 19:48:13+00:00,259
659,Anne_Hidalgo,2021-12-12 15:58:36+00:00,201
660,Anne_Hidalgo,2021-12-12 15:53:55+00:00,288
661,Anne_Hidalgo,2021-12-12 15:42:11+00:00,155
662,Anne_Hidalgo,2021-12-12 15:36:23+00:00,381
663,Anne_Hidalgo,2021-12-12 15:32:56+00:00,186
664,Anne_Hidalgo,2021-12-12 15:28:06+00:00,571
665,Anne_Hidalgo,2021-12-12 15:18:34+00:00,333
666,Anne_Hidalgo,2021-12-12 15:12:21+00:00,173
667,Anne_Hidalgo,2021-12-12 15:10:40+00:00,178
668,Anne_Hidalgo,2021-12-12 15:06:07+00:00,303
669,Anne_Hidalgo,2021-12-12 15:02:21+00:00,159
670,Anne_Hidalgo,2021-12-12 15:00:45+00:00,190
671,Anne_Hidalgo,2021-12-12 14:58:21+00:00,180
672,Anne_Hidalgo,2021-12-12 14:56:30+00:00,241
673,Anne_Hidalgo,2021-12-12 14:50:05+00:00,343
674,Anne_Hidalgo,2021-12-12 13:59:58+00:00,24
675,Anne_Hidalgo,2021-12-12 13:59:58+00:00,98
676,Anne_Hidalgo,2021-12-12 12:21:37+00:00,305
677,Anne_Hidalgo,2021-12-12 11:26:34+00:00,390
678,Anne_Hidalgo,2021-12-11 19:02:08+00:00,6370
679,Anne_Hidalgo,2021-12-10 19:39:38+00:00,134
680,Anne_Hidalgo,2021-12-10 14:34:18+00:00,286
681,Anne_Hidalgo,2021-12-10 13:40:22+00:00,189
682,Anne_Hidalgo,2021-12-09 22:27:08+00:00,318
683,Anne_Hidalgo,2021-12-09 22:20:52+00:00,423
684,Anne_Hidalgo,2021-12-09 22:19:03+00:00,334
685,Anne_Hidalgo,2021-12-09 18:17:21+00:00,279
686,Anne_Hidalgo,2021-12-09 14:02:09+00:00,304
687,Anne_Hidalgo,2021-12-08 19:43:53+00:00,2387
688,Anne_Hidalgo,2021-12-08 12:49:11+00:00,91
689,Anne_Hidalgo,2021-12-08 12:49:11+00:00,60
690,Anne_Hidalgo,2021-12-08 12:49:10+00:00,25
691,Anne_Hidalgo,2021-12-08 12:49:10+00:00,277
692,Anne_Hidalgo,2021-12-08 11:18:17+00:00,280
693,Anne_Hidalgo,2021-12-08 11:15:40+00:00,285
694,Anne_Hidalgo,2021-12-08 11:14:56+00:00,507
695,Anne_Hidalgo,2021-12-08 09:27:42+00:00,344
696,Anne_Hidalgo,2021-12-07 17:13:43+00:00,270
697,Anne_Hidalgo,2021-12-07 16:10:21+00:00,604
698,Anne_Hidalgo,2021-12-06 17:28:58+00:00,285
699,Anne_Hidalgo,2021-12-06 11:46:10+00:00,1081
700,Anne_Hidalgo,2021-12-05 18:36:59+00:00,2031
